"Date/Time (PST)",""" (5380') Mt. Hood Meadows Base",""" (5800') Timberline Lodge",""" (6540') Mt. Hood Meadows - Blue",""" (6990') Timberline - Magic Mile",""" (7300') Mt. Hood Meadows - Cascade Express"
"2021-02-01 16:00:00",86.7,93.2,,,
"2021-02-01 15:00:00",86.6,92.8,,,
"2021-02-01 14:00:00",86.3,93.8,,,
"2021-02-01 13:00:00",86.4,94,,,
"2021-02-01 12:00:00",86.4,94.3,,,
"2021-02-01 11:00:00",86.8,93.9,,,
"2021-02-01 10:00:00",86.5,92.8,,,
"2021-02-01 09:00:00",92.7,93.2,,,
"2021-02-01 08:00:00",86.5,93.4,,,
"2021-02-01 07:00:00",85.8,97.5,,,
"2021-02-01 06:00:00",85.8,94.8,,,
"2021-02-01 05:00:00",85.9,98.1,,,
"2021-02-01 04:00:00",86.1,97.3,,,
"2021-02-01 03:00:00",86.1,97.6,,,
"2021-02-01 02:00:00",86.3,93.5,,,
"2021-02-01 01:00:00",86.3,97.1,,,
"2021-02-01 00:00:00",86.5,96,,,
"2021-01-31 23:00:00",86.6,94.9,,,
"2021-01-31 22:00:00",86.6,94.9,,,
"2021-01-31 21:00:00",87.5,97.1,,,
"2021-01-31 20:00:00",92.7,98.5,,,
"2021-01-31 19:00:00",87.3,99,,,
"2021-01-31 18:00:00",88,99,,,
"2021-01-31 17:00:00",87.2,99.1,,,
"2021-01-31 16:00:00",99.1,98.2,,,
"2021-01-31 15:00:00",87.7,98.7,,,
"2021-01-31 14:00:00",93,96.6,,,
"2021-01-31 13:00:00",87.9,93.4,,,
"2021-01-31 12:00:00",101.8,93.6,,,
"2021-01-31 11:00:00",90.8,99.7,,,
"2021-01-31 10:00:00",93.3,97.2,,,
"2021-01-31 09:00:00",92.2,97.6,,,
"2021-01-31 08:00:00",84.7,97.7,,,
"2021-01-31 07:00:00",86.3,97.9,,,
"2021-01-31 06:00:00",85.9,88.6,,,
"2021-01-31 05:00:00",82.2,94,,,
"2021-01-31 04:00:00",85.4,94.8,,,
"2021-01-31 03:00:00",85.8,97,,,
"2021-01-31 02:00:00",83.7,98.2,,,
"2021-01-31 01:00:00",85.3,94.2,,,
"2021-01-31 00:00:00",85.3,94.8,,,
